id,name,price,category,description,image,available,modifier_groups,tags
2225,Quatuor Deluxe - plateau à déguster,21.47,Plateaux combinés,,https://www.sushi-aixsud.com/82-large_default/quatuor-deluxe.jpg,true,,[]
2232,Misoshiru - soupe maison Kyo Sushi,3.42,"Salades, soupes et riz",,https://www.sushi-aixsud.com/97-large_default/misoshiru.jpg,true,,"[""mitake""]"
2233,Salade Kyo - (spécialité Kyo Sushi),5.61,"Salades, soupes et riz",,https://www.sushi-aixsud.com/95-large_default/salade-kyo.jpg,true,,[]
2235,Bol de riz Sushi - (à l'unité),3.14,"Salades, soupes et riz",,https://www.sushi-aixsud.com/191-large_default/bol-de-riz-sushi.jpg,true,,[]
2237,Wasabi (supplément : vendu à l'unité),0.29,Extras,,https://www.sushi-aixsud.com/192-large_default/wasabi-x1.jpg,true,,[]
2239,Gingembre mariné - vendu à l'unité,0.57,Extras,,https://www.sushi-aixsud.com/193-large_default/gingembre-marine-x1.jpg,true,,[]
2244,Hiyashi Wakame - salade d'algues,4.66,"Salades, soupes et riz",,https://www.sushi-aixsud.com/100-large_default/hiyashi-wakame.jpg,true,,[]
2245,Bol de riz nature - accompagnement,2.95,"Salades, soupes et riz",,https://www.sushi-aixsud.com/94-large_default/bol-de-riz-nature.jpg,true,,"[""mitake""]"
2246,Sauce soja sucrée (sachet de 10 ml),0.29,Extras,,https://www.sushi-aixsud.com/407-large_default/sauce-sucree-15-ml.jpg,true,,[]
2252,DAIFUKU BLANC - SHIRO (vendu à l'unité),3.71,Desserts,,https://www.sushi-aixsud.com/198-large_default/daifuku-blanc.jpg,true,,[]
2253,DAIFUKU VERT - KUSA,3.71,Desserts,,https://www.sushi-aixsud.com/108-large_default/daifuku-vert.jpg,true,,[]
2254,DORAYAKI - dessert vendu à l'unité,3.71,Desserts,,https://www.sushi-aixsud.com/109-large_default/dorayaki.jpg,true,,[]
2255,DAIFUKU SESAME - KURO GOMA x 1,3.71,Desserts,,https://www.sushi-aixsud.com/199-large_default/daifuku-sesame.jpg,true,,[]
2262,THÉ GLACÉ VERT - canette 30 cl,2.47,Boissons softs,,https://www.sushi-aixsud.com/873-large_default/the-vert-froid.jpg,true,,"[""mitake""]"
2265,THÉ GLACÉ A LA PECHE - en canette,2.57,Boissons softs,,https://www.sushi-aixsud.com/874-large_default/the-peche.jpg,true,,"[""mitake""]"
2267,JUS LITCHI - bouteille de 25cl,2.47,Boissons softs,,https://www.sushi-aixsud.com/205-large_default/jus-litchi.jpg,true,,"[""mitake""]"
2268,JUS MANGUE - bouteille de 25cl,3.04,Boissons softs,,https://www.sushi-aixsud.com/206-large_default/jus-mangue.jpg,true,,"[""mitake""]"
